"","","WIMD ","Income ","Employment ","Health ","Education ","Access to Services ","Community Safety ","Physical Environment ","Housing "
"","St. Kingsmark 1 ",10,10,10,10,10,9,10,6,10
"","St. Kingsmark 2 ",10,9,9,10,10,10,8,5,10
"","Trellech United 1 ",7,8,9,9,10,1,9,8,2
"","Trellech United 2 ",8,10,10,10,10,1,10,8,4
"","Larkfield ",8,8,7,7,5,9,7,6,7
"","St. Christopher's ",7,6,7,5,6,7,7,3,8
"","St. Mary's ",6,6,5,6,8,8,2,2,3
"","Thornwell 1 ",3,2,4,2,3,3,5,4,7
"","Thornwell 2 ",6,5,6,5,4,5,6,4,7
"","Caerwent ",8,9,9,9,9,2,8,6,7
"","Caldicot Castle 1 ",9,9,9,10,10,2,7,5,10
"","Portskewett ",9,9,9,7,10,3,10,3,9
"","Shirenewton ",9,10,10,10,10,1,6,4,10
"","Dewstow & Green Lane 2 ",5,5,5,3,4,7,7,3,5
"","Severn 1 ",9,9,8,7,8,9,7,2,9
"","Severn 2 ",5,4,4,6,4,9,6,2,9
"","West End ",4,4,4,4,3,6,6,1,5
"","Dewstow ",6,5,6,5,5,4,6,4,8
"","Mill 1 ",9,8,7,8,9,10,7,2,10
"","Mill 2 ",9,9,10,10,9,4,5,2,8
"","Mill 3 ",10,9,9,9,9,7,9,2,10
"","Rogiet ",7,7,8,8,6,4,5,2,8
"","The Elms ",10,10,10,10,9,7,9,2,10
"","Cantref 1 ",9,9,7,9,10,5,9,3,9
"","Crucorney ",7,9,9,9,10,1,10,6,2
"","Grofield ",5,5,4,5,8,7,1,3,4
"","Mardy 2 ",7,8,6,8,9,1,6,8,6
"","Priory 1 ",8,9,7,9,10,3,4,2,9
"","Cantref 2 ",2,2,3,2,4,5,2,4,4
"","Lansdown ",4,4,3,4,6,3,4,7,7
"","Priory 2 ",6,5,4,6,7,5,5,6,6
"","Croesonen ",4,4,3,4,5,3,6,6,7
"","Llanelly Hill 1 ",10,10,9,8,10,8,10,7,10
"","Llanelly Hill 2 ",6,6,5,7,6,1,7,6,5
"","Llanelly Hill 3 ",8,5,7,7,7,8,10,8,9
"","Castle & Llanfoist Fawr ",6,7,6,7,8,2,4,3,9
"","Llanwenarth Ultra ",8,8,7,8,8,2,7,9,7
"","Dixton with Osbaston ",10,10,10,10,10,5,10,3,10
"","Drybridge 1 ",7,7,7,7,7,2,7,4,9
"","Drybridge 2 ",8,8,8,9,10,8,3,2,2
"","Overmonnow 1 ",6,5,7,7,3,9,6,1,5
"","Overmonnow 2 ",3,3,2,3,2,3,5,2,9
"","Wyesham ",6,5,7,7,4,3,6,2,8
"","Llanover 1 ",4,7,3,9,9,1,6,5,3
"","Llanover 2 ",5,7,6,7,6,1,6,4,1
"","Llantilio Crossenny ",7,9,10,10,10,1,10,5,4
"","Mitchel Troy ",7,9,10,10,8,1,6,7,2
"","Raglan ",8,9,9,9,9,2,9,4,7
"Newport ","",".",".",".",".",".",".",".",".","."
"Newport ","Caerleon 1 ",8,8,8,8,10,10,4,1,6
"","Caerleon 2 ",9,10,10,10,10,10,7,1,10
"","Caerleon 3 ",7,8,8,9,10,7,1,1,8
"","Caerleon 4 ",8,7,5,8,8,10,3,4,10
"","Caerleon 5 ",10,10,9,10,10,10,8,2,10
"","Caerleon 6 ",3,2,2,4,6,5,4,3,9
"","Langstone 1 ",9,9,10,10,10,7,6,2,10
"","Langstone 2 ",9,10,10,10,9,2,8,4,10
"","Langstone 3 ",9,10,9,9,10,4,7,3,10
"","Llanwern 1 ",5,7,6,7,6,1,2,1,8
"","Llanwern 2 ",4,4,5,4,3,7,5,5,8
"","Beechwood 3 ",2,1,1,3,2,4,4,3,8
"","Beechwood 4 ",5,5,6,6,3,7,2,1,5
"","Beechwood 5 ",8,8,7,7,7,7,6,2,6
"","St. Julians 4 ",3,3,2,5,4,5,1,1,8
"","Alway 1 ",8,9,8,8,6,9,5,1,9
"","Alway 3 ",8,8,7,8,7,10,6,1,6
"","Ringland 1 ",2,2,5,3,1,5,1,1,8
"","Ringland 3 ",4,3,5,3,4,7,4,1,6
"","Ringland 2 ",1,1,2,3,1,4,1,1,7
"","Ringland 4 ",1,1,2,2,1,3,1,2,5
"","Ringland 5 ",1,1,1,1,1,2,4,2,4
"","Ringland 6 ",1,1,2,4,1,5,1,3,6
"","Malpas 1 ",9,10,9,9,8,8,8,2,9
"","Malpas 2 ",1,1,1,1,1,3,2,5,8
"","Malpas 3 ",9,9,9,9,8,8,6,2,9
"","Malpas 4 ",8,8,7,7,7,10,7,4,6
"","Malpas 5 ",9,9,9,7,8,9,6,3,9
"","Bettws (Newport) 1 ",1,1,1,2,1,4,1,5,7
"","Bettws (Newport) 2 ",2,2,1,2,1,4,1,4,8
"","Bettws (Newport) 3 ",1,1,1,1,1,3,1,4,7
"","Bettws (Newport) 4 ",2,3,3,2,1,3,1,4,6
"","Bettws (Newport) 5 ",1,1,1,1,1,4,1,7,7
"","Bettws (Newport) 6 ",4,5,4,2,3,6,2,6,8
"","Allt-yr-yn 2 ",1,1,2,2,4,2,1,2,2
"","Shaftesbury 1 ",1,1,2,2,3,3,1,1,2
"","Shaftesbury 2 ",3,3,4,4,4,3,5,2,8
"","Shaftesbury 3 ",6,6,7,7,6,7,3,1,4
"","Shaftesbury 4 ",5,6,7,7,3,6,5,1,2
"","Allt-yr-yn 1 ",10,10,10,10,10,8,6,3,9
"","Allt-yr-yn 3 ",10,9,9,9,10,9,9,4,8
"","Allt-yr-yn 4 ",5,5,4,6,9,7,1,2,4
"","Allt-yr-yn 5 ",9,9,8,10,9,10,5,2,8
"","Allt-yr-yn 6 ",3,3,3,3,7,7,3,2,1
"","Stow Hill 1 ",2,2,3,4,5,3,1,2,1
"","Stow Hill 2 ",5,4,5,4,7,9,1,3,3
"","Stow Hill 3 ",1,2,1,3,2,5,1,2,1
"","Pillgwenlly 1 ",1,1,1,1,1,3,1,1,1
"","Pillgwenlly 2 ",2,2,4,2,2,3,1,1,1
"","Pillgwenlly 3 ",1,1,2,1,1,2,1,2,1
"","Pillgwenlly 4 ",1,1,1,1,2,3,1,3,2
"","St. Julians 1 ",5,6,6,6,6,9,4,1,2
"","St. Julians 2 ",2,4,3,5,2,5,1,1,1
"","St. Julians 3 ",7,7,9,7,6,10,3,1,5
"","St. Julians 5 ",8,8,8,8,8,10,2,1,5
"","St. Julians 6 ",6,5,7,6,6,10,3,1,3
"","Alway 6 ",5,4,5,7,6,9,4,1,2
"","Beechwood 1 ",5,5,5,5,5,9,4,1,2
"","Beechwood 2 ",6,6,7,6,7,10,6,1,2
"","Victoria 2 ",1,2,2,1,3,6,1,1,1
"","Victoria 3 ",1,2,3,2,1,6,1,1,1
"","Liswerry 1 ",2,3,3,5,2,5,1,1,2
"","Liswerry 2 ",1,1,3,1,3,4,1,1,1
"","Liswerry 3 ",5,5,8,5,3,7,2,1,2
"","Victoria 1 ",2,3,4,4,2,7,2,1,1
"","Victoria 4 ",1,2,2,1,2,4,1,1,1
"","Alway 2 ",1,1,2,1,1,5,1,2,2
"","Alway 4 ",1,1,2,1,1,5,1,2,6
"","Alway 5 ",3,2,5,3,1,8,1,2,5
"","Liswerry 4 ",4,4,6,5,3,7,3,1,2
"","Liswerry 5 ",1,2,3,2,1,3,1,1,4
"","Liswerry 6 ",4,5,6,7,6,2,1,1,6
"","Liswerry 7 ",4,5,6,5,3,9,2,1,7
"","Rogerstone 1 ",10,10,10,10,10,7,10,6,10
"","Rogerstone 2 ",10,10,10,10,9,9,7,2,10
"","Rogerstone 4 ",7,6,7,5,8,7,6,2,8
"","Rogerstone 5 ",10,10,9,9,10,9,10,4,10
"","Rogerstone 6 ",6,6,6,5,5,9,5,3,8
"","Graig (Newport) 1 ",9,9,7,8,10,7,6,4,10
"","Graig (Newport) 3 ",8,8,9,7,8,8,6,2,6
"","Graig (Newport) 4 ",10,10,10,10,10,9,7,6,10
"","Rogerstone 3 ",5,4,4,3,6,8,5,2,9
"","Gaer 1 ",6,6,5,7,5,6,3,3,9
"","Gaer 2 ",2,2,2,2,3,3,4,5,9
"","Gaer 3 ",8,8,8,6,6,10,7,4,9
"","Gaer 4 ",4,3,4,4,3,4,2,4,8
"","Gaer 5 ",1,1,3,1,1,3,1,3,6
"","Gaer 6 ",4,4,4,4,3,4,2,2,4
"","Tredegar Park 1 ",4,4,5,5,3,7,2,1,9
"","Tredegar Park 2 ",1,1,1,1,1,2,1,1,7
"","Graig (Newport) 2 ",10,10,10,10,10,7,6,2,10
"","Marshfield 2 ",9,10,10,10,10,3,4,1,10
"","Marshfield 3 ",8,8,8,7,9,8,5,1,10
"","Marshfield 4 ",6,9,8,6,9,1,4,1,10
"","Marshfield 5 ",9,9,10,10,8,8,4,1,9


