LSOA11CD,LSOA11NM,percent_welsh_speakers
W01001066,The Vale of Glamorgan 015D,11.6
W01001188,Rhondda Cynon Taf 001C,12.2
W01001109,The Vale of Glamorgan 011C,9.1
W01001189,Rhondda Cynon Taf 029C,13.9
W01001108,The Vale of Glamorgan 014A,9.1
W01001063,The Vale of Glamorgan 012A,12.0
W01001062,The Vale of Glamorgan 013A,14.6
W01001773,Cardiff 012A,10.6
W01000363,Wrexham 006D,18.7
W01001903,Powys 018F,8.3
W01000152,Conwy 005D,11.2
W01001620,Newport 003D,8.8
W01001177,Rhondda Cynon Taf 009B,10.9
W01000448,Powys 011B,8.5
W01000047,Gwynedd 011A,79.8
W01001084,The Vale of Glamorgan 002C,11.2
W01000254,Flintshire 003B,13.5
W01000609,Pembrokeshire 014D,11.2
W01001026,Bridgend 012D,6.1
W01000605,Pembrokeshire 013F,9.1
W01000157,Conwy 004C,17.1
W01001897,Powys 020D,13.1
W01001004,Bridgend 009A,8.9
W01001866,Cardiff 016A,6.6
W01000078,Gwynedd 011C,73.8
W01001257,Rhondda Cynon Taf 019D,13.4
W01001441,Blaenau Gwent 001B,7.8
W01000957,Neath Port Talbot 017D,6.9
W01000954,Neath Port Talbot 005C,11.9
W01000956,Neath Port Talbot 004F,22.6
W01001440,Blaenau Gwent 001A,8.5
