"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"","","","","Grosvenor 2 ",152,928,270,1350
"","","","","Little Acton 1 ",159,640,361,1160
"","","","","Little Acton 2 ",191,644,253,1088
"","","","","Stansty ",343,1222,578,2143
"","","","Wrexham 009 ","",1057,3035,1060,5152
"","","","Wrexham 009 ","Acton 1 ",317,1001,290,1608
"","","","","Acton 2 ",356,932,325,1613
"","","","","Maesydre ",384,1102,445,1931
"","","","Wrexham 010 ","",1981,4287,910,7178
"","","","Wrexham 010 ","Cartrefle 1 ",188,561,241,990
"","","","","Cartrefle 2 ",376,825,169,1370
"","","","","Queensway 1 ",507,777,105,1389
"","","","","Queensway 2 ",331,749,136,1216
"","","","","Wynnstay ",579,1375,259,2213
"","","","Wrexham 011 ","",1441,5441,1307,8189
