"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"","","","","Vaynor 2 ",347,1255,507,2109
"","","","Merthyr Tydfil 008 ","",2268,5840,1564,9672
"","","","Merthyr Tydfil 008 ","Gurnos 1 ",398,1010,255,1663
"","","","","Gurnos 2 ",443,1099,332,1874
"","","","","Gurnos 3 ",488,1232,265,1985
"","","","","Penydarren 1 ",359,817,142,1318
"","","","","Penydarren 2 ",343,778,229,1350
"","","","","Vaynor 1 ",237,904,341,1482
"","Caerphilly ","","","",34079,111948,34992,181019
"","Caerphilly ","Caerphilly U001 ","","",5293,17737,5357,28387
"","","Caerphilly U001 ","Caerphilly 001 ","",1541,5526,1722,8789
"","","","Caerphilly 001 ","Moriah 1 ",259,931,256,1446
"","","","","Moriah 2 ",215,975,291,1481
"","","","","Moriah 3 ",312,929,303,1544
"","","","","Pontlottyn ",270,1251,411,1932
"","","","","Twyn Carno 1 ",299,755,217,1271
"","","","","Twyn Carno 2 ",186,685,244,1115
"","","","Caerphilly 002 ","",1355,4595,1404,7354
"","","","Caerphilly 002 ","Darren Valley 1 ",239,842,276,1357
"","","","","Darren Valley 2 ",216,772,209,1197
"","","","","New Tredegar 1 ",310,1067,276,1653
"","","","","New Tredegar 2 ",250,933,348,1531
"","","","","New Tredegar 3 ",340,981,295,1616
"","","","Caerphilly 003 ","",1234,3750,1126,6110
"","","","Caerphilly 003 ","Aberbargoed 1 ",368,1128,282,1778
"","","","","Aberbargoed 2 ",512,1375,363,2250
"","","","","Gilfach ",354,1247,481,2082
"","","","Caerphilly 004 ","",1163,3866,1105,6134
"","","","Caerphilly 004 ","Bargoed 1 ",237,898,302,1437
"","","","","Bargoed 2 ",253,991,267,1511
"","","","","Bargoed 3 ",339,1110,285,1734
"","","","","Bargoed 4 ",334,867,251,1452
"","","Caerphilly U002 ","","",5796,19070,6444,31310
"","","Caerphilly U002 ","Caerphilly 005 ","",940,3479,1257,5676
"","","","Caerphilly 005 ","Argoed (Caerphilly) 1 ",322,915,262,1499
"","","","","Argoed (Caerphilly) 2 ",200,864,205,1269
"","","","","Blackwood 1 ",226,863,356,1445
"","","","","Blackwood 5 ",192,837,434,1463
"","","","Caerphilly 006 ","",1841,5926,1905,9672
"","","","Caerphilly 006 ","Crumlin 1 ",198,751,263,1212
"","","","","Crumlin 2 ",321,1044,334,1699
"","","","","Crumlin 3 ",326,856,328,1510
"","","","","Crumlin 4 ",292,1026,315,1633
"","","","","Penmaen 1 ",407,1244,331,1982
"","","","","Penmaen 2 ",297,1005,334,1636
"","","","Caerphilly 009 ","",1432,4421,1457,7310
"","","","Caerphilly 009 ","Blackwood 2 ",413,1069,346,1828
"","","","","Blackwood 3 ",341,1237,287,1865
"","","","","Blackwood 4 ",376,1064,381,1821
"","","","","Penmaen 3 ",302,1051,443,1796
"","","","Caerphilly 011 ","",1583,5244,1825,8652
"","","","Caerphilly 011 ","Pontllanfraith 1 ",335,1215,508,2058
"","","","","Pontllanfraith 2 ",373,1088,234,1695
"","","","","Pontllanfraith 3 ",367,1050,318,1735
"","","","","Pontllanfraith 4 ",176,720,426,1322
"","","","","Pontllanfraith 5 ",332,1171,339,1842
"","","Caerphilly U003 ","","",5558,19705,6075,31338
"","","Caerphilly U003 ","Caerphilly 010 ","",1205,4117,1336,6658
"","","","Caerphilly 010 ","Newbridge 1 ",302,1188,371,1861
"","","","","Newbridge 2 ",356,989,269,1614
"","","","","Newbridge 3 ",292,928,401,1621
"","","","","Newbridge 4 ",255,1012,295,1562
"","","","Caerphilly 014 ","",1349,4657,1257,7263
"","","","Caerphilly 014 ","Abercarn 1 ",462,1608,356,2426
"","","","","Abercarn 2 ",316,960,275,1551
"","","","","Abercarn 3 ",290,1000,291,1581
"","","","","Crosskeys 1 ",281,1089,335,1705
"","","","Caerphilly 015 ","",1085,3639,1131,5855
"","","","Caerphilly 015 ","Crosskeys 2 ",263,971,424,1658
"","","","","Ynysddu 1 ",546,1650,385,2581
"","","","","Ynysddu 2 ",276,1018,322,1616
"","","","Caerphilly 016 ","",1124,4034,1199,6357
"","","","Caerphilly 016 ","Risca East 1 ",215,888,256,1359
"","","","","Risca East 2 ",307,923,228,1458
"","","","","Risca East 3 ",295,1033,372,1700
"","","","","Risca East 4 ",307,1190,343,1840
"","","","Caerphilly 017 ","",795,3258,1152,5205
"","","","Caerphilly 017 ","Risca West 1 ",218,1010,421,1649
"","","","","Risca West 2 ",248,1077,390,1715
"","","","","Risca West 3 ",329,1171,341,1841
"","","Caerphilly U004 ","","",6361,20740,6516,33617
"","","Caerphilly U004 ","Caerphilly 007 ","",1439,4708,1578,7725
"","","","Caerphilly 007 ","Cefn Fforest 1 ",351,1230,327,1908
"","","","","Cefn Fforest 2 ",222,848,481,1551
"","","","","Pengam 1 ",274,836,241,1351
"","","","","Pengam 2 ",394,1109,278,1781
"","","","","Pengam 3 ",198,685,251,1134
"","","","Caerphilly 008 ","",1378,4752,1457,7587
"","","","Caerphilly 008 ","St. Cattwg 1 ",301,1017,212,1530
"","","","","St. Cattwg 2 ",379,1089,284,1752
"","","","","St. Cattwg 3 ",192,872,375,1439
"","","","","St. Cattwg 4 ",242,895,286,1423
"","","","","St. Cattwg 5 ",264,879,300,1443
"","","","Caerphilly 012 ","",1595,5036,1319,7950
"","","","Caerphilly 012 ","Hengoed (Caerphilly) 1 ",386,1192,236,1814
"","","","","Hengoed (Caerphilly) 2 ",437,1163,259,1859
"","","","","Hengoed (Caerphilly) 3 ",414,1341,309,2064
"","","","","Maesycwmmer ",358,1340,515,2213
"","","","Caerphilly 013 ","",1949,6244,2162,10355
"","","","Caerphilly 013 ","Nelson 1 ",226,928,417,1571
"","","","","Nelson 2 ",223,843,427,1493
"","","","","Nelson 3 ",283,966,337,1586
"","","","","Ystrad Mynach 1 ",741,1807,419,2967
"","","","","Ystrad Mynach 2 ",227,839,306,1372
"","","","","Ystrad Mynach 3 ",249,861,256,1366
"","","Caerphilly U005 ","","",5607,17518,5159,28284
"","","Caerphilly U005 ","Caerphilly 018 ","",1525,4327,1007,6859
"","","","Caerphilly 018 ","Aber Valley 1 ",297,907,305,1509
"","","","","Aber Valley 2 ",402,1166,232,1800
"","","","","Aber Valley 3 ",456,1270,269,1995
"","","","","Aber Valley 4 ",370,984,201,1555
"","","","Caerphilly 019 ","",1808,5706,1658,9172
"","","","Caerphilly 019 ","Llanbradach 1 ",308,1034,363,1705
"","","","","Llanbradach 2 ",262,949,295,1506
"","","","","Llanbradach 3 ",273,974,268,1515
"","","","","Penyrheol (Caerphilly) 1 ",272,762,276,1310
"","","","","Penyrheol (Caerphilly) 5 ",316,1069,271,1656
"","","","","Penyrheol (Caerphilly) 8 ",377,918,185,1480
"","","","Caerphilly 020 ","",1186,4149,1522,6857
"","","","Caerphilly 020 ","Bedwas Trethomas and Machen 1 ",259,1162,398,1819
"","","","","Bedwas Trethomas and Machen 2 ",296,1110,369,1775
"","","","","Bedwas Trethomas and Machen 5 ",282,950,404,1636
"","","","","Bedwas Trethomas and Machen 7 ",349,927,351,1627
"","","","Caerphilly 021 ","",1088,3336,972,5396
"","","","Caerphilly 021 ","Bedwas Trethomas and Machen 3 ",238,737,252,1227
"","","","","Bedwas Trethomas and Machen 4 ",196,694,255,1145
"","","","","Bedwas Trethomas and Machen 6 ",406,884,160,1450
"","","","","St. James 1 ",248,1021,305,1574
"","","Caerphilly U006 ","","",5464,17178,5441,28083
"","","Caerphilly U006 ","Caerphilly 022 ","",2021,5971,1955,9947
"","","","Caerphilly 022 ","Morgan Jones 2 ",356,1071,262,1689
"","","","","Morgan Jones 3 ",329,1099,435,1863
"","","","","Morgan Jones 4 ",452,1267,333,2052
"","","","","St. James 2 ",200,762,328,1290
"","","","","St. James 3 ",378,978,208,1564
"","","","","St. James 4 ",306,794,389,1489
"","","","Caerphilly 023 ","",1427,4527,1595,7549
"","","","Caerphilly 023 ","Morgan Jones 1 ",314,1087,433,1834
"","","","","Penyrheol (Caerphilly) 2 ",272,835,254,1361
"","","","","Penyrheol (Caerphilly) 3 ",261,850,341,1452
"","","","","Penyrheol (Caerphilly) 4 ",346,1002,278,1626
"","","","","Penyrheol (Caerphilly) 7 ",234,753,289,1276
"","","","Caerphilly 024 ","",2016,6680,1891,10587
"","","","Caerphilly 024 ","Penyrheol (Caerphilly) 6 ",599,1933,259,2791
"","","","","St. Martins 1 ",175,738,451,1364
"","","","","St. Martins 2 ",249,810,362,1421
"","","","","St. Martins 3 ",302,1057,327,1686
"","","","","St. Martins 4 ",227,785,310,1322
"","","","","St. Martins 5 ",464,1357,182,2003
"","Blaenau Gwent ","","","",12189,43592,13932,69713
"","Blaenau Gwent ","Blaenau Gwent U001 ","","",6462,22646,7599,36707
"","","Blaenau Gwent U001 ","Blaenau Gwent 001 ","",1281,4238,1559,7078
"","","","Blaenau Gwent 001 ","Beaufort 1 ",224,848,304,1376
"","","","","Beaufort 2 ",283,766,235,1284
"","","","","Beaufort 3 ",217,686,295,1198
"","","","","Rassau 1 ",214,818,400,1432
"","","","","Rassau 2 ",343,1120,325,1788
"","","","Blaenau Gwent 002 ","",946,3312,1184,5442
"","","","Blaenau Gwent 002 ","Brynmawr 1 ",213,792,343,1348
"","","","","Brynmawr 2 ",365,953,252,1570
"","","","","Brynmawr 3 ",172,725,271,1168
"","","","","Brynmawr 4 ",196,842,318,1356
"","","","Blaenau Gwent 003 ","",1176,4297,1527,7000
"","","","Blaenau Gwent 003 ","Sirhowy 1 ",166,864,326,1356
"","","","","Sirhowy 2 ",294,826,279,1399
"","","","","Sirhowy 3 ",215,883,358,1456
"","","","","Sirhowy 4 ",198,789,208,1195
"","","","","Tredegar Central and West 3 ",303,935,356,1594
"","","","Blaenau Gwent 004 ","",1324,4860,1578,7762
"","","","Blaenau Gwent 004 ","Badminton 1 ",212,875,350,1437
"","","","","Badminton 2 ",301,1079,351,1731
"","","","","Ebbw Vale North 1 ",210,833,298,1341
"","","","","Ebbw Vale North 2 ",344,1107,280,1731
"","","","","Ebbw Vale North 3 ",257,966,299,1522
"","","","Blaenau Gwent 005 ","",1735,5939,1751,9425
"","","","Blaenau Gwent 005 ","Blaina 1 ",168,854,327,1349
"","","","","Blaina 2 ",378,1241,364,1983
"","","","","Blaina 3 ",269,919,245,1433
"","","","","Nantyglo 1 ",408,1226,301,1935
"","","","","Nantyglo 2 ",230,864,271,1365
"","","","","Nantyglo 3 ",282,835,243,1360
"","","Blaenau Gwent U002 ","","",5727,20946,6333,33006
"","","Blaenau Gwent U002 ","Blaenau Gwent 006 ","",1406,5268,1655,8329
"","","","Blaenau Gwent 006 ","Georgetown 1 ",330,1111,322,1763
"","","","","Georgetown 2 ",336,1187,403,1926
"","","","","Tredegar Central and West 1 ",180,932,302,1414
"","","","","Tredegar Central and West 2 ",346,942,268,1556
"","","","","Tredegar Central and West 4 ",214,1096,360,1670
"","","","Blaenau Gwent 007 ","",1483,5512,1565,8560
"","","","Blaenau Gwent 007 ","Cwm 1 ",182,782,294,1258
"","","","","Cwm 2 ",245,909,268,1422
"","","","","Cwm 3 ",206,1029,235,1470
"","","","","Ebbw Vale South 1 ",301,735,174,1210
"","","","","Ebbw Vale South 2 ",310,1177,332,1819
"","","","","Ebbw Vale South 3 ",239,880,262,1381
"","","","Blaenau Gwent 008 ","",1626,5714,1719,9059
"","","","Blaenau Gwent 008 ","Abertillery 1 ",235,963,224,1422
"","","","","Abertillery 2 ",245,856,297,1398
"","","","","Abertillery 3 ",275,954,292,1521
"","","","","Cwmtillery 1 ",317,957,281,1555
"","","","","Cwmtillery 2 ",259,866,247,1372
"","","","","Cwmtillery 3 ",295,1118,378,1791
"","","","Blaenau Gwent 009 ","",1212,4452,1394,7058
"","","","Blaenau Gwent 009 ","Llanhilleth 1 ",301,960,274,1535
"","","","","Llanhilleth 2 ",289,981,303,1573
"","","","","Llanhilleth 3 ",224,1019,318,1561
"","","","","Six Bells 1 ",167,623,200,990
"","","","","Six Bells 2 ",231,869,299,1399
"","Torfaen ","","","",17250,56826,18973,93049
"","Torfaen ","Torfaen U001 ","","",6010,18714,5624,30348
"","","Torfaen U001 ","Torfaen 001 ","",1244,3919,1236,6399
"","","","Torfaen 001 ","Blaenavon 1 ",294,1053,338,1685
"","","","","Blaenavon 2 ",362,991,308,1661
"","","","","Blaenavon 3 ",316,986,315,1617
"","","","","Blaenavon 4 ",272,889,275,1436
"","","","Torfaen 002 ","",1587,4453,1342,7382
"","","","Torfaen 002 ","Abersychan 1 ",288,786,232,1306
"","","","","Abersychan 2 ",418,910,204,1532
"","","","","Abersychan 3 ",294,1039,346,1679
"","","","","Abersychan 4 ",290,763,287,1340
"","","","","Abersychan 5 ",297,955,273,1525
"","","","Torfaen 003 ","",1585,4718,1243,7546
"","","","Torfaen 003 ","St. Cadocs and Penygarn ",373,1074,328,1775
"","","","","Snatchwood ",365,1396,393,2154
"","","","","Trevethin 1 ",535,1178,196,1909
"","","","","Trevethin 2 ",312,1070,326,1708
"","","","Torfaen 004 ","",1594,5624,1803,9021
"","","","Torfaen 004 ","Brynwern ",349,1065,373,1787
"","","","","Cwmyniscoy ",246,880,289,1415
"","","","","Pontnewynydd ",277,989,227,1493
"","","","","Pontypool ",301,1132,475,1908
"","","","","Wainfelin 1 ",217,831,190,1238
"","","","","Wainfelin 2 ",204,727,249,1180
"","","Torfaen U002 ","","",4619,16575,6819,28013
"","","Torfaen U002 ","Torfaen 005 ","",909,3389,1645,5943
"","","","Torfaen 005 ","New Inn 1 ",258,938,384,1580
"","","","","New Inn 2 ",277,969,380,1626
"","","","","New Inn 3 ",129,639,483,1251
"","","","","New Inn 4 ",245,843,398,1486
"","","","Torfaen 006 ","",1335,4676,1576,7587
"","","","Torfaen 006 ","Panteg 1 ",153,637,310,1100
"","","","","Panteg 2 ",235,923,264,1422
"","","","","Panteg 3 ",216,863,297,1376
"","","","","Panteg 4 ",534,1644,376,2554
"","","","","Panteg 5 ",197,609,329,1135
"","","","Torfaen 008 ","",1234,4133,1904,7271
"","","","Torfaen 008 ","Croesyceiliog North 1 ",321,1172,421,1914
"","","","","Croesyceiliog North 2 ",258,875,411,1544
"","","","","Croesyceiliog South ",266,973,571,1810
"","","","","Llanyrafon North ",389,1113,501,2003
"","","","Torfaen 013 ","",1141,4377,1694,7212
"","","","Torfaen 013 ","Llantarnam 1 ",457,1487,420,2364
"","","","","Llantarnam 2 ",371,1395,449,2215
"","","","","Llanyrafon South 1 ",154,641,409,1204
"","","","","Llanyrafon South 2 ",159,854,416,1429
"","","Torfaen U003 ","","",6621,21537,6530,34688
"","","Torfaen U003 ","Torfaen 007 ","",1245,4735,1420,7400
"","","","Torfaen 007 ","Pontnewydd 1 ",253,887,193,1333
"","","","","Pontnewydd 2 ",324,1118,336,1778
"","","","","Pontnewydd 3 ",265,898,263,1426
"","","","","Pontnewydd 4 ",270,1075,331,1676
"","","","","Upper Cwmbran 2 ",133,757,297,1187
"","","","Torfaen 009 ","",1555,4181,960,6696
"","","","Torfaen 009 ","Greenmeadow 1 ",314,857,176,1347
"","","","","Greenmeadow 3 ",364,809,182,1355
"","","","","Upper Cwmbran 1 ",297,772,145,1214
"","","","","Upper Cwmbran 3 ",271,839,226,1336
"","","","","Upper Cwmbran 4 ",309,904,231,1444
"","","","Torfaen 010 ","",1431,4422,1527,7380
"","","","Torfaen 010 ","Llantarnam 3 ",251,982,356,1589
"","","","","St. Dials 1 ",328,845,235,1408
"","","","","St. Dials 2 ",181,700,344,1225
"","","","","St. Dials 3 ",292,820,281,1393
"","","","","Two Locks 1 ",379,1075,311,1765
"","","","Torfaen 011 ","",1190,3951,1274,6415
"","","","Torfaen 011 ","Fairwater (Torfaen) 1 ",293,836,312,1441
"","","","","Fairwater (Torfaen) 2 ",259,694,250,1203
"","","","","Fairwater (Torfaen) 3 ",227,804,192,1223
"","","","","Fairwater (Torfaen) 4 ",203,820,267,1290
"","","","","Greenmeadow 2 ",208,797,253,1258
"","","","Torfaen 012 ","",1200,4248,1349,6797
"","","","Torfaen 012 ","Coed Eva ",492,1513,479,2484
"","","","","Two Locks 2 ",256,1076,240,1572
"","","","","Two Locks 3 ",277,861,330,1468
"","","","","Two Locks 4 ",175,798,300,1273
"","Monmouthshire ","","","",15462,55256,23424,94142
"","Monmouthshire ","Monmouthshire U001 ","","",8443,31046,11965,51454
"","","Monmouthshire U001 ","Monmouthshire 006 ","",1155,5094,2324,8573
"","","","Monmouthshire 006 ","Goetre Fawr 1 ",117,677,317,1111
"","","","","Goetre Fawr 2 ",190,757,287,1234
"","","","","Llanbadoc ",211,807,373,1391
"","","","","Llangybi Fawr ",309,1107,504,1920
"","","","","Usk 1 ",118,865,435,1418
"","","","","Usk 2 ",210,881,408,1499
"","","","Monmouthshire 007 ","",1605,5680,2489,9774
"","","","Monmouthshire 007 ","Devauden ",224,824,402,1450
"","","","","St. Arvans ",266,951,457,1674
"","","","","St. Kingsmark 1 ",195,753,370,1318
"","","","","St. Kingsmark 2 ",473,1549,511,2533
"","","","","Trellech United 1 ",259,832,386,1477
"","","","","Trellech United 2 ",188,771,363,1322
"","","","Monmouthshire 008 ","",1586,5431,1593,8610
"","","","Monmouthshire 008 ","Larkfield ",230,707,425,1362
"","","","","St. Christopher's ",383,1172,323,1878
"","","","","St. Mary's ",295,1264,381,1940
"","","","","Thornwell 1 ",392,1087,216,1695
"","","","","Thornwell 2 ",286,1201,248,1735
"","","","Monmouthshire 009 ","",1338,5034,2081,8453
"","","","Monmouthshire 009 ","Caerwent ",372,1292,493,2157
"","","","","Caldicot Castle 1 ",342,1054,394,1790
"","","","","Portskewett ",334,1386,576,2296
"","","","","Shirenewton ",290,1302,618,2210
"","","","Monmouthshire 010 ","",1369,4773,2002,8144
"","","","Monmouthshire 010 ","Dewstow & Green Lane 2 ",246,688,225,1159
"","","","","Severn 1 ",212,918,542,1672
"","","","","Severn 2 ",235,893,371,1499
"","","","","West End ",314,1034,358,1706
"","","","","Dewstow ",362,1240,506,2108
"","","","Monmouthshire 011 ","",1390,5034,1476,7900
"","","","Monmouthshire 011 ","Mill 1 ",302,956,426,1684
"","","","","Mill 2 ",242,938,299,1479
"","","","","Mill 3 ",207,893,276,1376
"","","","","Rogiet ",345,1175,262,1782
"","","","","The Elms ",294,1072,213,1579
"","","Monmouthshire U002 ","","",7019,24210,11459,42688
"","","Monmouthshire U002 ","Monmouthshire 001 ","",1169,4687,2439,8295
"","","","Monmouthshire 001 ","Cantref 1 ",211,686,622,1519
"","","","","Crucorney ",309,1332,541,2182
"","","","","Grofield ",289,1170,394,1853
"","","","","Mardy 2 ",206,744,346,1296
"","","","","Priory 1 ",154,755,536,1445
"","","","Monmouthshire 002 ","",1420,4425,1725,7570
"","","","Monmouthshire 002 ","Cantref 2 ",336,962,220,1518
"","","","","Lansdown ",281,920,388,1589
"","","","","Priory 2 ",304,1001,510,1815
"","","","","Croesonen ",499,1542,607,2648
"","","","Monmouthshire 003 ","",1358,4768,2390,8516
"","","","Monmouthshire 003 ","Llanelly Hill 1 ",205,734,613,1552
"","","","","Llanelly Hill 2 ",249,940,290,1479
"","","","","Llanelly Hill 3 ",193,669,308,1170
"","","","","Castle & Llanfoist Fawr ",462,1618,742,2822
"","","","","Llanwenarth Ultra ",249,807,437,1493
"","","","Monmouthshire 004 ","",1991,6249,2826,11066
"","","","Monmouthshire 004 ","Dixton with Osbaston ",229,793,487,1509
"","","","","Drybridge 1 ",591,1915,587,3093
"","","","","Drybridge 2 ",412,1008,463,1883
"","","","","Overmonnow 1 ",185,657,210,1052
"","","","","Overmonnow 2 ",238,686,442,1366
"","","","","Wyesham ",336,1190,637,2163
"","","","Monmouthshire 005 ","",1081,4081,2079,7241
"","","","Monmouthshire 005 ","Llanover 1 ",173,743,331,1247
"","","","","Llanover 2 ",129,549,352,1030
"","","","","Llantilio Crossenny ",272,1068,450,1790
"","","","","Mitchel Troy ",230,681,340,1251
"","","","","Raglan ",277,1040,606,1923
"","Newport ","","","",31410,95424,26468,153302
"","Newport ","Newport U001 ","","",6291,20104,7210,33605
"","","Newport U001 ","Newport 001 ","",1323,4487,1978,7788
"","","","Newport 001 ","Caerleon 1 ",224,815,389,1428
"","","","","Caerleon 2 ",229,736,268,1233
"","","","","Caerleon 3 ",187,675,310,1172
"","","","","Caerleon 4 ",238,776,342,1356
"","","","","Caerleon 5 ",253,889,398,1540
"","","","","Caerleon 6 ",192,596,271,1059
"","","","Newport 004 ","",1556,5331,1716,8603
"","","","Newport 004 ","Langstone 1 ",415,1445,330,2190
"","","","","Langstone 2 ",127,631,384,1142
"","","","","Langstone 3 ",198,826,389,1413
"","","","","Llanwern 1 ",502,1485,413,2400
"","","","","Llanwern 2 ",314,944,200,1458
"","","","Newport 005 ","",1191,3689,1214,6094
"","","","Newport 005 ","Beechwood 3 ",309,845,359,1513
"","","","","Beechwood 4 ",382,966,237,1585
"","","","","Beechwood 5 ",209,898,329,1436
"","","","","St. Julians 4 ",291,980,289,1560
"","","","Newport 008 ","",951,3444,1374,5769
"","","","Newport 008 ","Alway 1 ",225,777,272,1274
"","","","","Alway 3 ",250,986,282,1518
"","","","","Ringland 1 ",219,780,385,1384
"","","","","Ringland 3 ",257,901,435,1593
"","","","Newport 010 ","",1270,3153,928,5351
"","","","Newport 010 ","Ringland 2 ",313,838,299,1450
"","","","","Ringland 4 ",351,839,233,1423
"","","","","Ringland 5 ",326,782,168,1276
"","","","","Ringland 6 ",280,694,228,1202
"","","Newport U002 ","","",8769,27791,7602,44162
"","","Newport U002 ","Newport 002 ","",1410,4593,1893,7896
"","","","Newport 002 ","Malpas 1 ",181,811,407,1399
"","","","","Malpas 2 ",469,1148,305,1922
"","","","","Malpas 3 ",189,756,427,1372
"","","","","Malpas 4 ",305,996,339,1640
"","","","","Malpas 5 ",266,882,415,1563
"","","","Newport 003 ","",1659,4997,1418,8074
"","","","Newport 003 ","Bettws (Newport) 1 ",295,754,257,1306
"","","","","Bettws (Newport) 2 ",218,725,219,1162
"","","","","Bettws (Newport) 3 ",313,830,212,1355
"","","","","Bettws (Newport) 4 ",384,1043,214,1641
"","","","","Bettws (Newport) 5 ",271,812,273,1356
"","","","","Bettws (Newport) 6 ",178,833,243,1254
"","","","Newport 006 ","",1414,4355,1021,6790
"","","","Newport 006 ","Allt-yr-yn 2 ",362,962,160,1484
"","","","","Shaftesbury 1 ",307,892,174,1373
"","","","","Shaftesbury 2 ",236,842,332,1410
"","","","","Shaftesbury 3 ",237,683,181,1101
"","","","","Shaftesbury 4 ",272,976,174,1422
"","","","Newport 012 ","",1089,3645,1525,6259
"","","","Newport 012 ","Allt-yr-yn 1 ",328,948,489,1765
"","","","","Allt-yr-yn 3 ",247,897,435,1579
"","","","","Allt-yr-yn 4 ",242,960,242,1444
"","","","","Allt-yr-yn 5 ",272,840,359,1471
"","","","Newport 014 ","",1134,4497,922,6553
"","","","Newport 014 ","Allt-yr-yn 6 ",239,844,253,1336
"","","","","Stow Hill 1 ",315,1199,223,1737
"","","","","Stow Hill 2 ",219,868,231,1318
"","","","","Stow Hill 3 ",361,1586,215,2162
"","","","Newport 018 ","",2063,5704,823,8590
"","","","Newport 018 ","Pillgwenlly 1 ",511,1189,265,1965
"","","","","Pillgwenlly 2 ",498,1472,226,2196
"","","","","Pillgwenlly 3 ",678,2126,134,2938
"","","","","Pillgwenlly 4 ",376,917,198,1491
"","","Newport U003 ","","",8653,24869,4728,38250
"","","Newport U003 ","Newport 007 ","",1465,4608,1117,7190
"","","","Newport 007 ","St. Julians 1 ",353,985,233,1571
"","","","","St. Julians 2 ",383,1190,170,1743
"","","","","St. Julians 3 ",250,853,320,1423
"","","","","St. Julians 5 ",213,717,242,1172
"","","","","St. Julians 6 ",266,863,152,1281
"","","","Newport 011 ","",1698,5247,1030,7975
"","","","Newport 011 ","Alway 6 ",268,792,208,1268
"","","","","Beechwood 1 ",312,1111,267,1690
"","","","","Beechwood 2 ",380,1031,203,1614
"","","","","Victoria 2 ",249,889,172,1310
"","","","","Victoria 3 ",489,1424,180,2093
"","","","Newport 013 ","",2794,7884,900,11578
"","","","Newport 013 ","Liswerry 1 ",374,1180,225,1779
"","","","","Liswerry 2 ",520,1057,104,1681
"","","","","Liswerry 3 ",908,2409,221,3538
"","","","","Victoria 1 ",545,1607,195,2347
"","","","","Victoria 4 ",447,1631,155,2233
"","","","Newport 015 ","",2696,7130,1681,11507
"","","","Newport 015 ","Alway 2 ",463,952,111,1526
"","","","","Alway 4 ",551,1194,124,1869
"","","","","Alway 5 ",282,753,223,1258
"","","","","Liswerry 4 ",329,850,157,1336
"","","","","Liswerry 5 ",374,1174,307,1855
"","","","","Liswerry 6 ",413,1339,415,2167
"","","","","Liswerry 7 ",284,868,344,1496
"","","Newport U004 ","","",7697,22660,6928,37285
"","","Newport U004 ","Newport 009 ","",1807,5294,1898,8999
"","","","Newport 009 ","Rogerstone 1 ",164,757,327,1248
"","","","","Rogerstone 2 ",458,1346,422,2226
"","","","","Rogerstone 4 ",659,1549,397,2605
"","","","","Rogerstone 5 ",216,777,427,1420
"","","","","Rogerstone 6 ",310,865,325,1500
"","","","Newport 016 ","",1173,3606,1275,6054
"","","","Newport 016 ","Graig (Newport) 1 ",193,779,237,1209
"","","","","Graig (Newport) 3 ",401,1015,401,1817
"","","","","Graig (Newport) 4 ",224,641,281,1146
"","","","","Rogerstone 3 ",355,1171,356,1882
"","","","Newport 017 ","",992,3402,1322,5716
"","","","Newport 017 ","Gaer 1 ",198,804,403,1405
"","","","","Gaer 2 ",254,847,406,1507
"","","","","Gaer 3 ",212,860,280,1352
"","","","","Gaer 4 ",328,891,233,1452
"","","","Newport 019 ","",2032,4995,1088,8115
"","","","Newport 019 ","Gaer 5 ",455,1003,186,1644
"","","","","Gaer 6 ",353,973,266,1592
"","","","","Tredegar Park 1 ",790,2043,244,3077
"","","","","Tredegar Park 2 ",434,976,392,1802
"","","","Newport 020 ","",1693,5363,1345,8401
"","","","Newport 020 ","Graig (Newport) 2 ",440,1275,215,1930
"","","","","Marshfield 2 ",264,898,284,1446
"","","","","Marshfield 3 ",454,1219,329,2002
"","","","","Marshfield 4 ",219,793,379,1391
"","","","","Marshfield 5 ",316,1178,138,1632


