LSOA11CD,LSOA11NM,pop_density_persqkm
W01001876,Cardiff 037D,7162.90940025521
W01001875,Cardiff 037C,1311.097802552172
W01001872,Cardiff 038B,11381.766381766382
W01000721,Carmarthenshire 027C,81.6629978335492
W01000720,Carmarthenshire 027B,136.7922406943799
W01001636,Newport 020A,167.59291420632167
W01001419,Caerphilly 021D,61.8144545286746
W01001889,Cardiff 020B,3990.5519641969167
W01001808,Cardiff 007C,5373.26911499097
W01001442,Blaenau Gwent 001C,1697.8458049886622
W01001445,Blaenau Gwent 005C,435.02018760814786
W01001888,Cardiff 010A,2931.1781369771707
W01001809,Cardiff 017A,6862.326574172893
W01001443,Blaenau Gwent 005A,1047.7669902912621
W01001781,Cardiff 026C,2614.882893566558
W01001703,Cardiff 045B,6505.840528186896
W01001782,Cardiff 026D,4391.167192429022
W01001783,Cardiff 026E,4096.467391304348
W01001780,Cardiff 026B,3311.1234499352213
W01001558,Monmouthshire 002C,4398.007196235815
W01001559,Monmouthshire 008A,3266.187050359712
W01001291,Merthyr Tydfil 003A,707.6963626779126
W01001210,Rhondda Cynon Taf 008B,2356.2519014298755
W01001213,Rhondda Cynon Taf 011A,6783.149832455721
W01001292,Merthyr Tydfil 004A,2694.023193577163
W01001212,Rhondda Cynon Taf 008D,5604.756047560475
W01001290,Merthyr Tydfil 007A,1301.5463917525774
W01000980,Bridgend 016A,4451.1177844511185
W01000901,Neath Port Talbot 014D,597.4475907660762
W01000811,Swansea 008B,4601.823708206687
W01000890,Neath Port Talbot 015B,1416.5137614678897
W01000810,Swansea 003D,4773.662551440329
W01000891,Neath Port Talbot 015C,3261.571582346609
W01000475,Powys 001E,17.854693328495383
W01000474,Powys 020B,6.882794824201293
W01000477,Powys 012D,7.636126397485269
W01000590,Pembrokeshire 012B,2580.800771828268
W01000511,Ceredigion 009E,255.93689687001762
W01000476,Powys 005C,93.14576650283998
W01000640,Carmarthenshire 007D,439.7122913935442
W01000472,Powys 012C,41.64588278223957
W01001749,Cardiff 027C,3153.562919644791
W01001748,Cardiff 027B,5545.055686803915
W01000641,Carmarthenshire 008A,1435.2465304414534
W01000453,Powys 010B,14.454868573317905
W01000452,Powys 004B,6.994772662815888
W01001901,Powys 017F,2297.794117647059
W01000159,Conwy 014B,11.26290692801993
W01001329,Caerphilly 014C,3294.4363409043553
W01000261,Flintshire 014C,3990.3069466882066
W01000260,Flintshire 017B,3370.035391270154
W01000268,Flintshire 013B,1630.0018964536318
W01000269,Flintshire 020A,1352.7397260273974
W01001471,Blaenau Gwent 001E,3044.4406606504344
W01001318,Merthyr Tydfil 005D,3862.5990871967333
W01001170,Rhondda Cynon Taf 004D,1498.1028391992672
W01000306,Flintshire 002A,937.1454504197867
W01000387,Wrexham 008D,4216.648491457651
W01000059,Gwynedd 006A,971.9872156420381
W01000051,Gwynedd 015A,865.5038439282466
W01000050,Gwynedd 003A,17.09058499750252
W01000053,Gwynedd 004B,56.468267996353276
W01000052,Gwynedd 004A,625.1305619385837
W01000054,Gwynedd 007A,113.22031200254696
W01000307,Flintshire 020B,130.41973862819725
W01000386,Wrexham 015A,2250.7598784194533
W01001957,Swansea 025G,4840.972871842844
W01001954,Cardiff 006F,2315.2632401187316
W01001956,Swansea 023E,954.6854377474702
W01001955,Swansea 025F,2719.732246798603
W01001952,Cardiff 049F,3262.156827561457
W01001839,Cardiff 030E,14670.0
W01001838,Cardiff 030D,16003.734827264238
W01001894,Cardiff 010C,4832.234871180347
W01001000,Bridgend 010B,127.05397043657614
W01000229,Denbighshire 017E,4130.325814536342
W01001142,Rhondda Cynon Taf 005F,432.32237138054313
W01001247,Rhondda Cynon Taf 016C,3900.0235793444945
W01001140,Rhondda Cynon Taf 005D,384.0211873758552
W01001242,Rhondda Cynon Taf 030D,975.4235994504655
W01001141,Rhondda Cynon Taf 005E,355.6832694763729
W01000007,Isle of Anglesey 009A,42.50968575118382
W01000223,Denbighshire 009B,121.61498659213657
W01000222,Denbighshire 003C,1853.843720341664
W01000220,Denbighshire 001C,2172.4407397759833
W01000496,Powys 021B,17.530658640453396
W01000497,Powys 005D,40.97825072342014
W01000417,Wrexham 020D,131.29448984972316
W01000416,Wrexham 007D,4648.377125193199
W01000414,Wrexham 010D,5642.691415313225
W01001398,Caerphilly 024A,1263.4104386401702
W01001855,Cardiff 042A,13939.15756630265
W01001852,Cardiff 004B,536.3184372333852
W01001857,Cardiff 042C,8724.243752740027
W01001854,Cardiff 004D,4876.678114267874
W01001856,Cardiff 042B,12600.408441116406
W01001179,Rhondda Cynon Taf 023B,519.2414458112964
W01001853,Cardiff 004C,4298.359802134862
W01000443,Powys 015B,18.696004851195866
W01001892,Cardiff 020D,5157.465728047426
W01001080,The Vale of Glamorgan 012F,5383.8517538054275
W01001582,Monmouthshire 011D,210.29029974038235
W01001681,Newport 006B,3179.712830013895
W01000072,Gwynedd 002B,1992.2393546410701
W01000398,Wrexham 013A,126.87826599703138
W01000319,Flintshire 016G,1496.151872755259
W01000989,Bridgend 013A,64.35256508121562
W01000621,Pembrokeshire 016D,388.82171167539974
W01000908,Neath Port Talbot 006E,391.17038178229257
W01000620,Pembrokeshire 016C,4364.532019704433
W01000909,Neath Port Talbot 009A,1986.7109634551496
W01000542,Ceredigion 011F,9.619822295157993
W01000545,Ceredigion 007D,38.28791611585146
W01000822,Swansea 009F,1246.2878637893486
W01001920,Bridgend 017G,4052.308685824992
W01000346,Wrexham 018B,34.924853207879195
W01001779,Cardiff 026A,3084.9256900212313
W01001909,Monmouthshire 002F,2934.3971631205673
W01000082,Gwynedd 015C,10.183674220580837
W01001261,Rhondda Cynon Taf 018F,2158.7088096839275
W01000258,Flintshire 006A,176.40573318632858
W01001260,Rhondda Cynon Taf 014C,1957.5551782682514
W01001028,Bridgend 014D,2590.6168786759677
W01000682,Carmarthenshire 005B,41.06341419774256
W01001811,Cardiff 009A,1354.9502810203198
W01001362,Caerphilly 003C,2034.3951534102011
W01001152,Rhondda Cynon Taf 002B,214.66985527748776
W01000325,Flintshire 010D,445.45634527816276
W01000759,Swansea 012A,1450.796280953696
W01000117,Gwynedd 017E,522.4109178776844
W01000656,Carmarthenshire 010A,143.9100052031535
W01001528,Torfaen 010D,1048.3931662527282
W01000735,Carmarthenshire 027D,105.5607832993654
W01001491,Torfaen 004A,4697.686645636172
W01000505,Powys 021E,49.688956354582665
W01000821,Swansea 009E,3844.7270800211977
W01001263,Rhondda Cynon Taf 022E,4089.6140896140896
W01001262,Rhondda Cynon Taf 022D,798.5132785804209
W01001272,Rhondda Cynon Taf 010D,464.9607974229624
W01000921,Neath Port Talbot 011B,687.068706870687
W01000920,Neath Port Talbot 011A,57.93846211679793
W01000411,Wrexham 015C,470.3868740224865
W01000410,Wrexham 014D,342.24917967584764
W01001258,Rhondda Cynon Taf 019E,2213.714480176961
W01000379,Wrexham 004C,2750.814332247557
W01000378,Wrexham 004B,3155.5451127819547
W01000371,Wrexham 008B,6131.307650569724
W01000370,Wrexham 020G,291.9678139268238
W01000373,Wrexham 005B,2002.9076269290986
W01001603,Newport 012C,3763.3567891581965
W01000077,Gwynedd 001C,5372.247465921007
W01001132,The Vale of Glamorgan 008D,1087.8956876914617
W01001133,The Vale of Glamorgan 008E,847.0088020289422
W01001134,The Vale of Glamorgan 008F,394.76652379878186
W01001135,The Vale of Glamorgan 003C,60.760378612895046
W01001136,The Vale of Glamorgan 003D,615.9895150720839
W01001137,Rhondda Cynon Taf 005A,590.9067181709036
W01001168,Rhondda Cynon Taf 004B,788.7444041782137
W01001169,Rhondda Cynon Taf 004C,733.1957804190521
W01001160,Rhondda Cynon Taf 029A,334.70046964319863
W01001161,Rhondda Cynon Taf 029B,399.32712215320913
W01001165,Rhondda Cynon Taf 019B,685.5779965492743
W01001130,The Vale of Glamorgan 005F,5017.5575497463915
W01001162,Rhondda Cynon Taf 025A,3014.769765421373
W01001131,The Vale of Glamorgan 008C,5035.871964679912
W01001167,Rhondda Cynon Taf 016B,1549.545786780829
W01001164,Rhondda Cynon Taf 019A,728.3763277693474
W01001056,Bridgend 007D,1112.9062915795475
W01001057,Bridgend 006B,1383.5524098415908
W01001461,Blaenau Gwent 007F,4493.979824275952
W01000200,Denbighshire 008A,581.4923799903378
W01000281,Flintshire 008D,5627.306273062731
W01001948,Cardiff 006E,879.7002309267572
W01000282,Flintshire 010C,1670.3807770564867
W01001941,Cardiff 032G,6005.509641873278
W01001940,Cardiff 048A,707.8657144245251
W01001949,Cardiff 005F,11473.765432098764
W01000529,Ceredigion 007A,35.76341726743984
W01000528,Ceredigion 008B,129.59129557080047
W01001495,Torfaen 008C,1679.658500371195
W01000431,Powys 014A,1262.1068397403894
W01001542,Monmouthshire 009A,92.10942103869705
W01001634,Newport 019B,6812.152332049635
W01001637,Newport 016B,1452.3219566781231
W01001538,Torfaen 009D,4261.562998405104
W01000430,Powys 015A,19.265291200089113
W01001562,Monmouthshire 003B,114.01568004687054
W01001565,Monmouthshire 006D,29.722558493066288
W01000088,Gwynedd 007B,133.81051668022783
W01001564,Monmouthshire 003D,95.3910118816232
W01001904,Powys 018G,33.63951091633147
W01001539,Torfaen 009E,4255.820807544946
W01001563,Monmouthshire 003C,810.4176768026598
W01000580,Pembrokeshire 009B,165.63034932577352
W01000030,Isle of Anglesey 003D,1708.3180652253575
W01000031,Isle of Anglesey 001E,40.407927650567636
W01000242,Denbighshire 014A,770.0185119539958
W01000032,Isle of Anglesey 002D,69.47391132367218
W01000033,Isle of Anglesey 003E,2340.709936135452
W01000034,Isle of Anglesey 004B,574.1490121399667
W01000035,Isle of Anglesey 005E,59.429682436811405
W01000245,Denbighshire 010A,474.02650412256116
W01000036,Isle of Anglesey 003F,3942.959001782531
W01000037,Isle of Anglesey 003G,3601.579107197085
W01000038,Isle of Anglesey 009D,54.58256323077379
W01000039,Isle of Anglesey 004C,77.83986305351894
W01000180,Conwy 008C,525.5985984037376
W01000108,Gwynedd 012D,597.4410215151437
W01000100,Gwynedd 010B,30.687879292427642
W01001929,Wrexham 012F,5841.401567542646
W01000101,Gwynedd 013D,229.15928726533502
W01000182,Conwy 007D,3661.9168455982826
W01000181,Conwy 008D,2664.485641584878
W01000183,Conwy 008E,1940.1058474248098
W01000103,Gwynedd 005D,78.76384006616914
W01000827,Swansea 031E,3042.8769017980635
W01000189,Conwy 015F,7.9905265672302574
W01000188,Conwy 002D,2687.280841568377
W01001395,Caerphilly 023C,2621.8851570964243
W01001922,Cardiff 032E,16017.55786113328
W01000131,Conwy 012D,1209.2996017802764
W01001206,Rhondda Cynon Taf 006C,1103.2420522505508
W01001287,Rhondda Cynon Taf 014F,474.18230117881455
W01000276,Flintshire 008A,5588.104749223258
W01000277,Flintshire 008B,816.1077023887532
W01000444,Powys 002A,40.476298432916764
W01001586,Monmouthshire 007D,2561.690938511327
W01000564,Pembrokeshire 011C,724.8101552759831
W01001601,Newport 006A,4038.095238095238
W01001921,Bridgend 017H,5004.7333543704635
W01000342,Wrexham 009B,5101.201771030993
W01001951,Cardiff 049E,3688.3525708289612
W01001436,Blaenau Gwent 008B,5443.925233644861
W01001437,Blaenau Gwent 008C,785.113302018273
W01001434,Caerphilly 013F,400.59825801343146
