LSOA11CD,LSOA11NM,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
W01000320,Flintshire 002B,22,21,17,19,20,17,36,7,15,14,22,21,9,23,14,18,18,14,8,8,17,2,4,3,2,8
W01000194,Denbighshire 011A,27,11,27,26,26,22,20,21,19,17,14,19,10,9,7,10,14,8,7,6,4,10,6,7,6,10
W01000679,Carmarthenshire 002D,13,11,16,14,18,14,20,11,10,14,17,13,14,12,9,9,7,6,6,10,1,4,1,5,2,4
W01000678,Carmarthenshire 002C,27,28,31,18,20,17,20,17,18,28,24,17,19,18,14,14,20,9,11,10,13,10,8,12,12,33
W01000790,Swansea 016F,32,20,24,24,14,11,21,7,6,14,15,9,7,15,6,13,7,9,4,9,4,5,7,7,4,6
W01000671,Carmarthenshire 018B,33,38,20,27,30,34,49,31,22,36,23,31,16,15,18,21,15,9,10,11,13,11,5,5,6,14
W01000711,Carmarthenshire 021E,33,34,29,29,31,38,30,18,25,24,21,13,11,12,17,9,6,8,18,12,13,5,10,4,6,36
W01000670,Carmarthenshire 018A,23,17,19,21,29,30,25,13,19,9,12,18,10,8,14,8,8,12,9,13,13,5,7,6,3,18
W01001657,Newport 020C,26,17,14,18,13,20,26,11,8,13,9,8,13,16,5,2,5,8,8,3,5,4,1,6,6,19
W01001490,Torfaen 001D,18,19,18,19,15,16,15,14,14,14,11,14,11,10,8,8,5,4,9,6,2,4,2,6,2,11
W01000769,Swansea 020B,15,23,21,24,19,20,26,24,23,25,22,14,20,15,15,10,6,5,10,2,6,5,9,5,2,8
W01000768,Swansea 020A,15,14,20,15,32,28,22,13,19,11,13,9,12,15,7,11,12,5,12,5,13,6,7,5,3,12
W01000583,Pembrokeshire 004B,18,17,19,19,17,15,14,21,25,14,16,18,13,13,9,5,6,6,8,3,8,3,1,4,1,22
W01001849,Cardiff 004A,20,28,18,19,18,20,22,15,12,13,18,13,12,15,10,10,11,10,11,10,6,6,11,7,6,27
W01001848,Cardiff 012B,18,20,20,24,20,8,15,12,14,9,14,10,4,15,8,11,13,13,12,17,4,7,8,6,6,19
W01000464,Powys 011D,15,32,18,20,20,32,22,16,16,21,17,12,12,11,14,10,7,10,5,7,6,4,8,1,3,14
W01001678,Newport 005D,25,23,17,23,14,15,16,19,9,10,18,13,11,11,5,10,8,9,5,6,4,3,1,5,3,6
